Gene_ID,Gene_Name,Transcript_A_file1,Transcript_B_file1,COEX_Score_file1,P_Value_file1,Enriched_Cell_Types_A_file1,Enriched_Cell_Types_B_file1,Max_Contrast_A_file1,Max_Contrast_B_file1,Tr_min_file1,Tr_max_file1,DTU_ID,Transcript_A_file2,Transcript_B_file2,COEX_Score_file2,P_Value_file2,Enriched_Cell_Types_A_file2,Enriched_Cell_Types_B_file2,Max_Contrast_A_file2,Max_Contrast_B_file2,Tr_min_file2,Tr_max_file2,COEX_Diff
ENSMUSG00000021268,Meg3,ENSMUST00000246047,ENSMUST00000247194,-0.0377384647727013,0.0159676804996298,02; 04; 05; 06,11; 12,0.359473977143985,0.281852965052934,ENSMUST00000246047,ENSMUST00000247194,ENSMUSG00000021268___ENSMUST00000246047___ENSMUST00000247194,ENSMUST00000246047,ENSMUST00000247194,-0.0377384647727013,0.0159676804996298,-1; 02; 03; 04; 05; 06,09; 11; 12,0.44247070786546,0.170983657624014,ENSMUST00000246047,ENSMUST00000247194,0
ENSMUSG00000023868,Pde10a,ENSMUST00000141877,ENSMUST00000233652,-0.0374922342598438,0.0166688719817558,07,09; 10; 11,0.506276173349628,0.134034353523623,ENSMUST00000141877,ENSMUST00000233652,ENSMUSG00000023868___ENSMUST00000141877___ENSMUST00000233652,ENSMUST00000141877,ENSMUST00000233652,-0.0374922342598438,0.0166688719817558,13,07; 08; 09; 10; 11; 12; 15,0.785212344978822,0.125974605548365,ENSMUST00000141877,ENSMUST00000233652,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000243087,-0.0335734188556671,0.0320561737655042,02; 04; 05; 06,11; 12,0.315973535609048,0.244947654119281,ENSMUST00000129245,ENSMUST00000243087,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000243087,ENSMUST00000129245,ENSMUST00000243087,-0.0335734188556671,0.0320561737655042,-1; 03; 04; 05; 06,09; 11; 12,0.435607622304097,0.148731442898188,ENSMUST00000129245,ENSMUST00000243087,0
ENSMUSG00000030209,Grin2b,ENSMUST00000053880,ENSMUST00000125905,-0.0332230068743229,0.0338936068938102,11,02; 04,0.0980486631596152,0.102529759412685,ENSMUST00000053880,ENSMUST00000125905,ENSMUSG00000030209___ENSMUST00000053880___ENSMUST00000125905,ENSMUST00000053880,ENSMUST00000125905,-0.0332230068743229,0.0338936068938102,11; 13,04; 05,0.0875997628998452,0.0862038604619335,ENSMUST00000053880,ENSMUST00000125905,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000246154,-0.0330773256719112,0.034683600021955197,02; 04; 05; 06,11; 12,0.315601979478138,0.246521529411087,ENSMUST00000129245,ENSMUST00000246154,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000246154,ENSMUST00000129245,ENSMUST00000246154,-0.0330773256719112,0.034683600021955197,-1; 03; 04; 05; 06,09; 11; 12,0.43544851833193,0.15245357247266,ENSMUST00000129245,ENSMUST00000246154,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000243937,-0.0325118079781532,0.0379009686305604,02; 04; 05; 06,11; 12,0.314057937948564,0.247845648824109,ENSMUST00000129245,ENSMUST00000243937,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000243937,ENSMUST00000129245,ENSMUST00000243937,-0.0325118079781532,0.0379009686305604,-1; 03; 04; 05; 06,09; 11; 12,0.43476476878505,0.143213989925642,ENSMUST00000129245,ENSMUST00000243937,0
ENSMUSG00000021268,Meg3,ENSMUST00000243087,ENSMUST00000246047,-0.0324691124260426,0.03815386024795,11; 12,02; 04; 05; 06,0.241691434739398,0.350588236643044,ENSMUST00000243087,ENSMUST00000246047,ENSMUSG00000021268___ENSMUST00000243087___ENSMUST00000246047,ENSMUST00000243087,ENSMUST00000246047,-0.0324691124260426,0.03815386024795,09; 11; 12,-1; 03; 04; 05; 06,0.149538667425474,0.438571144815019,ENSMUST00000243087,ENSMUST00000246047,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000143847,-0.0321921743452549,0.0398292808515676,02; 04; 05; 06,11; 12,0.313592033599857,0.241766619601146,ENSMUST00000129245,ENSMUST00000143847,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000143847,ENSMUST00000129245,ENSMUST00000143847,-0.0321921743452549,0.0398292808515676,-1; 03; 04; 05; 06,09; 11; 12,0.43456061469623,0.15533477662972,ENSMUST00000129245,ENSMUST00000143847,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000247320,-0.0321921743452549,0.0398292808515676,02; 04; 05; 06,11; 12,0.313592033599857,0.244975025566109,ENSMUST00000129245,ENSMUST00000247320,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000247320,ENSMUST00000129245,ENSMUST00000247320,-0.0321921743452549,0.0398292808515676,-1; 03; 04; 05; 06,09; 11; 12,0.43456061469623,0.15533477662972,ENSMUST00000129245,ENSMUST00000247320,0
ENSMUSG00000021268,Meg3,ENSMUST00000126289,ENSMUST00000129245,-0.0320291556417942,0.040844398341674,11; 12,02; 04; 05; 06,0.251791429965894,0.314040394328872,ENSMUST00000126289,ENSMUST00000129245,ENSMUSG00000021268___ENSMUST00000126289___ENSMUST00000129245,ENSMUST00000126289,ENSMUST00000129245,-0.0320291556417942,0.040844398341674,09; 11; 12,-1; 03; 04; 05; 06,0.149338488679801,0.434763949915188,ENSMUST00000126289,ENSMUST00000129245,0
ENSMUSG00000021268,Meg3,ENSMUST00000246047,ENSMUST00000246154,-0.031967468559742,0.0412342006843439,02; 04; 05; 06,11; 12,0.350216680512134,0.243265310031204,ENSMUST00000246047,ENSMUST00000246154,ENSMUSG00000021268___ENSMUST00000246047___ENSMUST00000246154,ENSMUST00000246047,ENSMUST00000246154,-0.031967468559742,0.0412342006843439,-1; 03; 04; 05; 06,09; 11; 12,0.438412040842852,0.153260796999945,ENSMUST00000246047,ENSMUST00000246154,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000247335,-0.031869862228632,0.0418574135971758,02; 04; 05; 06,11; 12,0.313122180391148,0.245308441285365,ENSMUST00000129245,ENSMUST00000247335,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000247335,ENSMUST00000129245,ENSMUST00000247335,-0.031869862228632,0.0418574135971758,-1; 03; 04; 05; 06,09; 11; 12,0.434354716386914,0.158228652056678,ENSMUST00000129245,ENSMUST00000247335,0
ENSMUSG00000021268,Meg3,ENSMUST00000243937,ENSMUST00000246047,-0.0314670130610466,0.0445146003137914,11; 12,02; 04; 05; 06,0.244589429444227,0.34867263898256,ENSMUST00000243937,ENSMUST00000246047,ENSMUSG00000021268___ENSMUST00000243937___ENSMUST00000246047,ENSMUST00000243937,ENSMUST00000246047,-0.0314670130610466,0.0445146003137914,09; 11; 12,-1; 03; 04; 05; 06,0.144021214452928,0.437728291295971,ENSMUST00000243937,ENSMUST00000246047,0
ENSMUSG00000021268,Meg3,ENSMUST00000143847,ENSMUST00000246047,-0.0311578828841448,0.046648894458927,11; 12,02; 04; 05; 06,0.238510400221263,0.348206734633853,ENSMUST00000143847,ENSMUST00000246047,ENSMUSG00000021268___ENSMUST00000143847___ENSMUST00000246047,ENSMUST00000143847,ENSMUST00000246047,-0.0311578828841448,0.046648894458927,09; 11; 12,-1; 03; 04; 05; 06,0.156142001157006,0.437524137207152,ENSMUST00000143847,ENSMUST00000246047,0
ENSMUSG00000021268,Meg3,ENSMUST00000246047,ENSMUST00000247320,-0.0311578828841448,0.046648894458927,02; 04; 05; 06,11; 12,0.348206734633853,0.241718806186226,ENSMUST00000246047,ENSMUST00000247320,ENSMUSG00000021268___ENSMUST00000246047___ENSMUST00000247320,ENSMUST00000246047,ENSMUST00000247320,-0.0311578828841448,0.046648894458927,-1; 03; 04; 05; 06,09; 11; 12,0.437524137207152,0.156142001157006,ENSMUST00000246047,ENSMUST00000247320,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000246462,-0.0310662649571896,0.0472977495233195,02; 04; 05; 06,11; 12,0.312582257417436,0.23981135309922,ENSMUST00000129245,ENSMUST00000246462,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000246462,ENSMUST00000129245,ENSMUST00000246462,-0.0310662649571896,0.0472977495233195,-1; 03; 04; 05; 06,09; 11; 12,0.434124359218572,0.16123596054881,ENSMUST00000129245,ENSMUST00000246462,0
ENSMUSG00000021268,Meg3,ENSMUST00000126289,ENSMUST00000246047,-0.0309557411819696,0.0480905838864599,11; 12,02; 04; 05; 06,0.248535210586012,0.348655095362868,ENSMUST00000126289,ENSMUST00000246047,ENSMUSG00000021268___ENSMUST00000126289___ENSMUST00000246047,ENSMUST00000126289,ENSMUST00000246047,-0.0309557411819696,0.0480905838864599,09; 11; 12,-1; 03; 04; 05; 06,0.150145713207087,0.437727472426109,ENSMUST00000126289,ENSMUST00000246047,0
ENSMUSG00000021268,Meg3,ENSMUST00000246047,ENSMUST00000247335,-0.0308461673557758,0.0488875969170399,02; 04; 05; 06,11; 12,0.347736881425145,0.242052221905482,ENSMUST00000246047,ENSMUST00000247335,ENSMUSG00000021268___ENSMUST00000246047___ENSMUST00000247335,ENSMUST00000246047,ENSMUST00000247335,-0.0308461673557758,0.0488875969170399,-1; 03; 04; 05; 06,09; 11; 12,0.437318238897835,0.159035876583963,ENSMUST00000246047,ENSMUST00000247335,0
